Lakeville_Minnesota;1718;61938;36
Lakewood_California;8623;81138;9
Lakewood_Colorado;3601;154393;43
Lakewood_Ohio;9092;50279;6
Lakewood_Washington;3533;60665;17
Lancaster_California;1698;160106;94
Lancaster_Pennsylvania;8191;59218;7
Lansing_Michigan;3218;11602;36
Laredo_Texas;2892;257156;89
Largo_Florida;4714;83065;18
Las Cruces_New Mexico;133;101759;76
Las Vegas_Nevada;466;632912;136
Lauderhill_Florida;8397;71626;9
Lawrence_Kansas;2841;95358;34
Lawrence_Massachusetts;11574;80209;7
Lawton_Oklahoma;1168;94653;81
Layton_Utah;3439;75655;22
League City_Texas;1989;10201;51
Lee's Summit_Missouri;1517;96076;63
Leesburg_Virginia;4246;52607;12
Lehi_Utah;2321;6113;26
Lenexa_Kansas;1551;52903;34
Lewisville_Texas;2875;104659;36
Lexington_Kentucky;1123;318449;284
Lincoln_Nebraska;3146;280364;89
Little Rock_Arkansas;1666;198541;119
Livermore_California;3541;89115;25
Livonia_Michigan;2634;94041;36
Lodi_California;475;64641;14
Logan_Utah;2825;50676;18
Long Beach_California;9348;47013;50
Longmont_Colorado;3546;92858;26
Longview_Texas;1473;82055;56
Lorain_Ohio;2692;6373;24
Los Angeles_California;8484;3976322;469
Louisville_Kentucky;1895;616261;325
Loveland_Colorado;2289;76897;34
Lowell_Massachusetts;8141;110558;14
Lubbock_Texas;2063;252506;122
Lynchburg_Virginia;1633;80212;49
Lynn_Massachusetts;8631;92697;11
Lynwood_California;14708;71187;5
Madera_California;4081;64444;16
Madison_Wisconsin;3289;252551;77
Malden_Massachusetts;12071;6084;5
Manchester_New Hampshire;3339;110506;33
Manhattan_Kansas;2931;54983;19
Mansfield_Texas;1804;65631;36
Manteca_California;4338;76908;18
Maple Grove_Minnesota;2132;69576;33
Margate_Florida;6539;5787;9
Marietta_Georgia;264;60941;23
Marysville_Washington;327;67626;21
McAllen_Texas;2942;142212;48
McKinney_Texas;277;172298;62
Medford_Massachusetts;7063;57213;8
Medford_Oregon;3173;81636;26
Melbourne_Florida;2398;81185;34
Memphis_Tennessee;2072;652717;315
Menifee_California;1905;88531;46
Merced_California;3542;82594;23
Meriden_Connecticut;2506;59622;24
Meridian_Idaho;3569;95623;27
Mesa_Arizona;3551;484587;136
Mesquite_Texas;3123;143736;46
Miami Beach_Florida;12047;91917;8
Miami Gardens_Florida;6202;113058;18
Miami_Florida;12645;453579;36
Midland_Texas;1868;13461;72
Midwest City_Oklahoma;2349;57305;24
Milford_Connecticut;2399;52536;22
Milpitas_California;5705;77528;14
Milwaukee_Wisconsin;6191;595047;96
Minneapolis_Minnesota;7664;413651;54
Minnetonka_Minnesota;1945;52369;27
Miramar_Florida;469;138449;30
Mission Viejo_California;5434;96396;18
Mission_Texas;2458;83563;34
Missoula_Montana;263;72364;28
Missouri City_Texas;2624;74561;28
Mobile_Alabama;1387;192904;139
Modesto_California;5755;212175;37
Montebello_California;7603;63335;8
Monterey Park_California;7963;61075;8
Montgomery_Alabama;1254;200022;160
Moore_Oklahoma;2815;61415;22
Moreno Valley_California;4008;205499;51
Mount Pleasant_South Carolina;1867;8417;45
Mount Prospect_Illinois;5239;54171;10
Mount Vernon_New York;15568;68344;4
Mountain View_California;6704;80447;12
Muncie_Indiana;2537;6901;27
Murfreesboro_Tennessee;2384;131947;55
Murrieta_California;3326;111674;34
Nampa_Idaho;293;91382;31
Napa_California;4508;80416;18
Naperville_Illinois;3795;147122;39
Nashua_New Hampshire;2849;87882;31
Nashville_Tennessee;139;660388;475
National City_California;8399;61147;7
New Bedford_Massachusetts;4752;95032;20
New Braunfels_Texas;1686;73959;44
New Britain_Connecticut;5419;72558;13
New Brunswick_New Jersey;10881;5691;5
New Haven_Connecticut;6956;129934;19
New Orleans_Louisiana;2311;391495;169
New Rochelle_New York;7687;79557;10
New York_New York;28211;8537673;303
Newark_New Jersey;11648;281764;24
Newport Beach_California;3642;86688;24
Newport News_Virginia;2646;181825;69
Newton_Massachusetts;4991;89045;18
Noblesville_Indiana;1918;60183;31
Norfolk_Virginia;4529;245115;54
Normal_Illinois;2957;54264;18
Norman_Oklahoma;683;12218;179
North Charleston_South Carolina;1493;109298;73
North Las Vegas_Nevada;2355;238702;101
North Little Rock_Arkansas;1287;66278;52
North Miami_Florida;7389;62139;8
North Port_Florida;645;64274;100
North Richland Hills_Texas;3841;69798;18
Norwalk_California;10935;106178;10
Norwalk_Connecticut;3869;88438;23
Novato_California;2041;56004;27
Novi_Michigan;1957;59211;30
O'Fallon_Missouri;2956;86274;29
Oak Lawn_Illinois;6549;56257;9
Oak Park_Illinois;11016;51774;5
Oakland_California;7528;420005;56
Ocala_Florida;1322;59253;45
Oceanside_California;4256;175464;41
Odessa_Texas;281;117871;42
Ogden_Utah;32;86701;27
Oklahoma City_Oklahoma;1053;638367;606
Olathe_Kansas;2271;135473;60
Olympia_Washington;2873;51202;18
Omaha_Nebraska;3517;44697;127
Ontario_California;3468;173212;50
Orange_California;5665;140504;25
Orem_Utah;5331;97499;18
Orland Park_Illinois;269;58862;22
Orlando_Florida;2707;277173;102
Oshkosh_Wisconsin;2602;66579;26
Overland Park_Kansas;2525;188966;75
Owensboro_Kentucky;3105;59273;19
Oxnard_California;7732;207906;27
Palatine_Illinois;5049;68766;14
Palm Bay_Florida;1676;110104;66
Palm Beach Gardens_Florida;976;53778;55
Palm Coast_Florida;947;85109;90
Palm Desert_California;1948;52231;27
Palmdale_California;1485;157356;106
Palo Alto_California;2807;67024;24
Paramount_California;11609;54909;5
Parker_Colorado;2498;51163;20
Parma_Ohio;3967;79425;20
Pasadena_California;6185;142059;23
Pasadena_Texas;3586;153351;43
Pasco_Washington;2314;70579;31
Passaic_New Jersey;22424;70635;3
Paterson_New Jersey;17438;147;8
Pawtucket_Rhode Island;8229;71427;9
Peabody_Massachusetts;3238;52491;16
Pearland_Texas;2415;11357;47
Pembroke Pines_Florida;509;168587;33
Pensacola_Florida;2386;53779;23
Peoria_Arizona;941;164173;174
