"STATEFP10,C,2","COUNTYFP10,C,3","TRACTCE10,C,6","BLOCKCE10,C,4","GEOID10,C,15","NAME10,C,10","MTFCC10,C,5","UR10,C,1","UACE10,C,5","UATYP10,C,1","FUNCSTAT10,C,1","ALAND10,N,14,0","AWATER10,N,14,0","INTPTLAT10,C,11","INTPTLON10,C,12"
32,003,007600,3000,320030076003000,Block 3000,G5040,R,,,S,0,255297,+36.7998496,-114.0577986
32,003,007600,3220,320030076003220,Block 3220,G5040,R,,,S,0,1137,+36.7725139,-114.1458091
32,003,007600,3035,320030076003035,Block 3035,G5040,R,,,S,0,4045,+36.7906836,-114.0964547
32,003,005705,2007,320030057052007,Block 2007,G5040,R,,,S,453221,3479,+35.0102648,-114.6419504
32,003,005902,1129,320030059021129,Block 1129,G5040,R,,,S,149380079,597666,+36.6299175,-115.8201113
32,003,005703,2027,320030057032027,Block 2027,G5040,R,,,S,0,27871,+35.9127736,-114.7088217
32,003,005705,1056,320030057051056,Block 1056,G5040,R,,,S,0,251967,+35.0675863,-114.6034620
32,003,005809,1006,320030058091006,Block 1006,G5040,U,47995,U,S,0,108508,+36.1365944,-115.2866783
32,003,005615,1026,320030056151026,Block 1026,G5040,R,,,S,0,1438,+36.7909173,-114.0943241
32,003,007600,3028,320030076003028,Block 3028,G5040,R,,,S,0,11746,+36.7721851,-114.1471956
32,003,005703,3060,320030057033060,Block 3060,G5040,R,,,S,0,20804,+35.3046078,-114.6082218
32,003,005703,3059,320030057033059,Block 3059,G5040,R,,,S,0,18561,+35.2843425,-114.6016453
32,003,005702,2015,320030057022015,Block 2015,G5040,R,,,S,8983004,877897,+35.1433175,-114.5984925
32,003,007600,3120,320030076003120,Block 3120,G5040,R,,,S,0,307080,+36.5774490,-114.3300720
32,003,007500,1033,320030075001033,Block 1033,G5040,R,,,S,530439783,212,+36.3051209,-115.7254452
32,003,006104,1068,320030061041068,Block 1068,G5040,R,,,S,1696728,130912,+36.1268686,-114.9319400
32,003,005703,2018,320030057032018,Block 2018,G5040,R,,,S,0,102673,+35.9235251,-114.7080934
32,003,005615,1025,320030056151025,Block 1025,G5040,R,,,S,0,18323,+36.7770108,-114.1393981
32,003,005703,2461,320030057032461,Block 2461,G5040,R,,,S,0,317,+35.4932758,-114.6871897
32,003,007600,3229,320030076003229,Block 3229,G5040,R,,,S,0,13326,+36.7828725,-114.1301114
32,003,005613,4190,320030056134190,Block 4190,G5040,R,,,S,0,49062453,+36.1139787,-114.7486408
32,003,005703,3065,320030057033065,Block 3065,G5040,R,,,S,0,4655223,+35.2382710,-114.5860025
32,003,005702,3007,320030057023007,Block 3007,G5040,R,,,S,0,114331,+35.1222401,-114.6221550
32,003,005705,2006,320030057052006,Block 2006,G5040,R,,,S,0,183502,+35.0197337,-114.6420186
32,003,007600,3116,320030076003116,Block 3116,G5040,R,,,S,0,44129,+36.5878744,-114.3230343
32,003,005902,1100,320030059021100,Block 1100,G5040,R,,,S,413512631,829714,+36.7423549,-115.5501278
32,003,005702,3006,320030057023006,Block 3006,G5040,R,,,S,0,166628,+35.1220872,-114.6079134
32,003,005703,3063,320030057033063,Block 3063,G5040,R,,,S,0,16467,+35.2986473,-114.6065349
32,003,005703,2029,320030057032029,Block 2029,G5040,R,,,S,0,448436,+35.8627914,-114.6840438
32,003,007600,3203,320030076003203,Block 3203,G5040,R,,,S,0,23137467,+36.0688584,-114.1502073
32,003,005705,2001,320030057052001,Block 2001,G5040,R,,,S,0,891,+35.0129965,-114.6431183
32,003,005702,3009,320030057023009,Block 3009,G5040,R,,,S,0,361328,+35.1211907,-114.6306568
32,003,005613,4249,320030056134249,Block 4249,G5040,R,,,S,0,7573,+36.0409812,-114.7946861
32,003,005613,4187,320030056134187,Block 4187,G5040,R,,,S,0,112003424,+36.1926620,-114.4393660
32,003,005902,1234,320030059021234,Block 1234,G5040,R,,,S,755714987,820,+36.4998152,-115.0247022
32,003,007600,2061,320030076002061,Block 2061,G5040,R,,,S,0,948273,+36.6828988,-114.2869923
32,003,005703,2028,320030057032028,Block 2028,G5040,R,,,S,0,95251,+35.9035321,-114.7017933
32,003,007600,3163,320030076003163,Block 3163,G5040,R,,,S,0,8227831,+36.4908311,-114.3404476
32,003,003628,1107,320030036281107,Block 1107,G5040,U,47995,U,S,1059880,112001,+36.2583583,-115.0852045
32,003,007600,3033,320030076003033,Block 3033,G5040,R,,,S,0,262324,+36.7831429,-114.1229206
32,003,005437,1005,320030054371005,Block 1005,G5040,R,,,S,24193,4854,+36.1043247,-114.9328968
32,003,005613,4217,320030056134217,Block 4217,G5040,R,,,S,0,402425,+36.1295910,-114.8844303
32,003,005703,2057,320030057032057,Block 2057,G5040,R,,,S,0,432750,+35.8691930,-114.6659391
32,003,007500,1124,320030075001124,Block 1124,G5040,R,,,S,43699,0,+35.9420118,-115.6580049
32,003,000523,1012,320030005231012,Block 1012,G5040,U,47995,U,S,33279,0,+36.1602921,-115.1133078
32,003,005342,1011,320030053421011,Block 1011,G5040,U,47995,U,S,17575,0,+36.0103733,-114.9688279
32,003,005101,1002,320030051011002,Block 1002,G5040,U,47995,U,S,158322,0,+36.0766676,-115.0556404
32,003,005613,4177,320030056134177,Block 4177,G5040,R,,,S,40396,0,+36.1743169,-114.7729586
32,003,002958,1005,320030029581005,Block 1005,G5040,U,47995,U,S,54924,0,+36.0936405,-115.2418714
32,003,005015,2005,320030050152005,Block 2005,G5040,U,47995,U,S,24574,0,+36.1222920,-115.0366108
32,003,003232,1040,320030032321040,Block 1040,G5040,U,47995,U,S,81167,0,+36.2745485,-115.3014667
32,003,007600,3221,320030076003221,Block 3221,G5040,R,,,S,79000,0,+36.7710697,-114.1565696
32,003,000101,4018,320030001014018,Block 4018,G5040,U,47995,U,S,40088,0,+36.1831523,-115.1888623
32,003,007600,1018,320030076001018,Block 1018,G5040,U,56413,C,S,22702,0,+36.8033566,-114.0671640
