"BLOCKCE,C,4","BLOCKID10,C,15","POP10,N,9,0"
1607,320019501001607,0
1000,320019506001000,0
1059,320019506001059,0
2007,320019503012007,14
2022,320019503012022,42
2050,320019506002050,34
2021,320019506002021,176
1421,320019501001421,0
1565,320019501001565,2
1076,320019504001076,0
1033,320019505001033,119
2041,320019503012041,0
3002,320019507003002,0
1119,320019506001119,0
3071,320019503013071,5
1286,320019506001286,0
1235,320019507001235,144
1216,320019507001216,5
3083,320019503013083,3
3046,320019503013046,16
1069,320019506001069,0
1007,320019506001007,0
1076,320019506001076,0
1828,320019501001828,0
1046,320019501001046,0
1824,320019501001824,0
1049,320019501001049,0
1001,320019506001001,0
1048,320019501001048,0
1044,320019501001044,0
1060,320019501001060,0
3038,320019507003038,0
3208,320019507003208,0
1201,320019507001201,36
1212,320019506001212,0
1032,320019507001032,0
1033,320019507001033,0
1029,320019507001029,0
1191,320019507001191,0
3209,320019507003209,55
3224,320019507003224,0
3213,320019507003213,0
2185,320019501002185,0
2175,320019501002175,0
2109,320019501002109,0
2020,320019507002020,50
1000,320019504001000,0
1621,320019501001621,0
1002,320019504001002,0
1051,320019504001051,0
2052,320019506002052,14
1288,320019506001288,0
1193,320019506001193,16
1010,320019501001010,0
1033,320019501001033,0
3024,320019507003024,83
1082,320019506001082,0
2038,320019506002038,0
1833,320019501001833,0
1105,320019506001105,0
1090,320019506001090,0
1069,320019501001069,0
1109,320019506001109,0
1111,320019501001111,0
1034,320019501001034,0
3171,320019507003171,1
3227,320019507003227,2
1295,320019507001295,0
1187,320019507001187,0
3141,320019507003141,0
1210,320019507001210,15
3015,320019506003015,37
3009,320019506003009,64
3004,320019503023004,0
5001,320019503025001,95
5005,320019503025005,23
2030,320019503012030,30
2036,320019503012036,0
5031,320019503025031,21
2066,320019501002066,0
2131,320019501002131,0
2213,320019501002213,0
1796,320019501001796,0
1688,320019501001688,0
1240,320019506001240,6
1753,320019501001753,0
1338,320019501001338,0
1388,320019501001388,0
1385,320019501001385,0
1380,320019501001380,0
1109,320019501001109,0
1117,320019506001117,21
2004,320019506002004,0
2021,320019505002021,0
2120,320019505002120,0
1850,320019501001850,0
1085,320019501001085,0
1451,320019501001451,0
2039,320019507002039,15
2015,320019503022015,8
1017,320019503011017,27
4006,320019503024006,4
4042,320019507004042,69
2019,320019503022019,0
1007,320019503011007,0
1023,320019503011023,20
1047,320019503011047,40
2029,320019503022029,9
3028,320019503013028,42
4029,320019503024029,33
2036,320019507002036,0
1018,320019503021018,15
1088,320019503021088,54
1048,320019503021048,4
1052,320019503021052,8
1070,320019503021070,12
3080,320019503013080,0
1055,320019505001055,0
2033,320019507002033,17
1085,320019503021085,0
1714,320019501001714,0
1708,320019501001708,0
1769,320019501001769,0
1406,320019501001406,0
1856,320019501001856,0
1093,320019501001093,0
2003,320019501002003,76
1257,320019507001257,0
2046,320019501002046,0
2050,320019501002050,0
1223,320019507001223,12
2039,320019506002039,156
1049,320019506001049,0
1316,320019507001316,0
2192,320019501002192,0
2206,320019501002206,0
1357,320019507001357,0
2167,320019501002167,0
1365,320019507001365,0
1127,320019501001127,0
1353,320019501001353,0
1394,320019501001394,0
1120,320019506001120,0
1187,320019506001187,0
1180,320019506001180,0
3015,320019507003015,0
1246,320019506001246,0
1181,320019506001181,0
1284,320019506001284,0
5000,320019503025000,36
2035,320019506002035,0
4029,320019507004029,14
4013,320019507004013,30
1407,320019501001407,0
3003,320019503013003,0
1190,320019506001190,0
1199,320019506001199,0
1332,320019507001332,0
2069,320019505002069,16
1335,320019507001335,0
2072,320019505002072,0
2026,320019506002026,0
2043,320019501002043,0
1065,320019505001065,28
1000,320019505001000,0
1337,320019507001337,0
2049,320019505002049,2
1068,320019503021068,37
1016,320019503021016,14
2048,320019507002048,0
4063,320019507004063,1
2005,320019501002005,255
2017,320019501002017,119
1011,320019507001011,0
1224,320019507001224,0
1015,320019505001015,10
2132,320019505002132,0
1497,320019501001497,0
1025,320019505001025,0
1052,320019505001052,0
1520,320019501001520,0
1491,320019501001491,0
1054,320019505001054,0
1273,320019507001273,0
4066,320019507004066,0
1064,320019503021064,11
3059,320019503013059,5
3137,320019507003137,19
1362,320019507001362,0
1377,320019507001377,0
1546,320019501001546,0
1526,320019501001526,0
1547,320019501001547,3
1540,320019501001540,0
1008,320019505001008,0
1465,320019501001465,0
1541,320019501001541,7
1049,320019505001049,5
1537,320019501001537,0
1040,320019505001040,6
1444,320019501001444,0
3032,320019503013032,40
1166,320019506001166,2
1086,320019503021086,0
2059,320019505002059,40
2078,320019505002078,0
2088,320019505002088,4
2093,320019505002093,8
1093,320019505001093,0
1577,320019501001577,0
1010,320019504001010,0
1015,320019504001015,0
1785,320019501001785,0
1305,320019501001305,0
1424,320019501001424,0
1091,320019501001091,0
1390,320019501001390,0
1023,320019504001023,0
1091,320019504001091,0
1089,320019504001089,0
1016,320019504001016,0
1090,320019504001090,0
1797,320019501001797,0
1673,320019501001673,0
2123,320019501002123,0
2124,320019501002124,0
1206,320019501001206,0
1281,320019501001281,0
1282,320019501001282,0
1092,320019501001092,0
1025,320019506001025,0
2026,320019503012026,102
1303,320019507001303,0
1095,320019505001095,0
1620,320019501001620,5
1104,320019501001104,0
1069,320019505001069,2
1628,320019501001628,0
1328,320019507001328,0
1615,320019501001615,0
1047,320019504001047,0
1326,320019501001326,0
1024,320019506001024,0
1290,320019506001290,0
1266,320019506001266,0
1047,320019506001047,0
1144,320019506001144,0
1087,320019504001087,0
1035,320019504001035,0
1038,320019504001038,0
1580,320019501001580,3
1839,320019501001839,0
1082,320019507001082,0
1070,320019505001070,5
1387,320019501001387,0
1118,320019507001118,0
1349,320019501001349,0
1345,320019501001345,0
2038,320019507002038,90
1008,320019501001008,0
1188,320019501001188,0
1066,320019506001066,0
3011,320019507003011,68
1162,320019506001162,0
3075,320019507003075,0
3115,320019507003115,0
1171,320019506001171,0
3127,320019507003127,0
1642,320019501001642,0
1635,320019501001635,0
1649,320019501001649,0
1645,320019501001645,0
1695,320019501001695,0
1804,320019501001804,0
2019,320019507002019,30
